Produkt,Datum,prognose,lo80,hi80,lo95,hi95
Schweinebraten,2025-11-01,135.523281062739,127.68937833218969,142.92848062899895,123.34112697117436,146.69732697230876
Schweinebraten,2025-12-01,135.9915200434746,127.95284575144892,143.58086656647964,123.48579417748927,147.4403833376288
Schweinebraten,2026-01-01,136.45815244776972,128.22216221797873,144.2246207143509,123.64042768812034,148.17125683759247
Schweinebraten,2026-02-01,136.92319470040024,128.49679364479573,144.86029928518195,123.80420076228825,148.89078327686448
Schweinebraten,2026-03-01,137.38666294817014,128.7762711297814,145.48839307404782,123.97638631170965,149.5996989223852
Schweinebraten,2026-04-01,137.84857306645344,129.06018035441483,146.10933806141833,124.15634071383693,150.2986566815572
Schweinebraten,2026-05-01,138.30894066553932,129.3481531125413,146.7235238860835,124.34349087818217,150.9882390277311
Schweinebraten,2026-06-01,138.76778109678824,129.63986046689348,147.33130069039217,124.53732379839944,151.66896844030103
"Schweinehackfleisch, auch gemischt",2025-07-01,136.92813472954307,118.02369654670898,153.52224949765682,106.66869453306334,161.6184605413646
"Schweinehackfleisch, auch gemischt",2025-08-01,136.928131684235,117.18275927472055,154.1650971810133,105.24121586639137,162.55162691477594
"Schweinehackfleisch, auch gemischt",2025-09-01,136.92813052387925,116.3680039213385,154.78102980084137,103.84939862884686,163.44435188402093
"Schweinehackfleisch, auch gemischt",2025-10-01,136.9281300817481,115.57654484997447,155.37292385504017,102.48876482394844,164.3009924313256
"Schweinehackfleisch, auch gemischt",2025-11-01,136.9281299132826,114.80597268953674,155.94318081619207,101.15555477884168,165.12518353232508
"Schweinehackfleisch, auch gemischt",2025-12-01,136.92812984909204,114.05425086935034,156.49382976135297,99.84656972021767,165.91999455181295
"Schweinehackfleisch, auch gemischt",2026-01-01,136.9281298246335,113.31963937293776,157.02660329785164,98.5590556101978,166.68804481794908
"Schweinehackfleisch, auch gemischt",2026-02-01,136.92812981531404,112.60063743437335,157.54299474305898,97.29061573385951,167.43159059745764
"Schweinehackfleisch, auch gemischt",2026-03-01,136.92812981176303,111.89593972166121,158.04430189213434,96.03914376483107,168.152591634534
"Schweinehackfleisch, auch gemischt",2026-04-01,136.92812981040998,111.2044023178777,158.53166101659943,94.80277170247133,168.85276281588085
"Schweinehackfleisch, auch gemischt",2026-05-01,136.92812980989444,110.52501594797884,159.0060736281187,93.57982879732918,169.53361482649228
"Schweinehackfleisch, auch gemischt",2026-06-01,136.928129809698,109.85688464979346,159.4684278021975,92.36880872130857,170.19648653056817
Schweinekotelett oder Schweineschnitzel,2025-07-01,134.66932166102018,119.54082911034085,153.90229758741893,112.77507451285247,166.34498889433945
Schweinekotelett oder Schweineschnitzel,2025-08-01,135.55342145906658,119.73182189369037,155.8825566016931,112.70419420341025,169.16304938133854
Schweinekotelett oder Schweineschnitzel,2025-09-01,136.44861413028949,119.94141517955165,157.88140682804317,112.65786342815073,172.0185169166542
Schweinekotelett oder Schweineschnitzel,2025-10-01,137.35510601015216,120.16801016297626,159.9014600483676,112.6336153945522,174.91607167623067
Schweinekotelett oder Schweineschnitzel,2025-11-01,138.27310853620347,120.41027346991177,161.9451006337855,112.62938515801902,177.86009959396162
Schweinekotelett oder Schweineschnitzel,2025-12-01,139.20283840588667,120.66708211345019,164.01454240586324,112.64342596865657,180.85478262851308
Schweinekotelett oder Schweineschnitzel,2026-01-01,140.1445177402053,120.9374822462446,166.11187180718744,112.67424660139355,183.9041685393567
Schweinekotelett oder Schweineschnitzel,2026-02-01,141.0983742535107,121.22065772099687,168.23908137659114,112.7205635993541,187.01222628526784
Schweinekotelett oder Schweineschnitzel,2026-03-01,142.06464142968724,121.51590576307808,170.39809623283776,112.78126432792915,190.182891195519
Schweinekotelett oder Schweineschnitzel,2026-04-01,143.0435587050381,121.82261789173948,172.59079543867435,112.85537800447408,193.42010280132016
Schweinekotelett oder Schweineschnitzel,2026-05-01,144.03537165809354,122.14026477590586,174.8190295682846,112.94205270523256,196.72783738377365
