Produkt,n,mean_mom,median_mom,sd_mom,min_mom,max_mom,start_preis,end_preis,preisanstieg_pct,Kategorie
Trockengemüse,60,0.17995588536141663,0.1811287040901388,1.5759472437667468,-9.46843853820598,3.1488549618320594,98.6,109,10.547667342799194,Gemüse & Gemüsekonserven
Tiefgefrorener Spinat,66,0.25792400209525546,0.5905717773342811,4.429606214978303,-33.29177057356608,5.781758957654737,97.8,107,9.40695296523517,Gemüse & Gemüsekonserven
"Hülsenfrüchte, Spargel, Radieschen oder Ähnliches",60,0.3041836565303914,1.5396095231406726,5.856653566589395,-17.539863325740313,11.054247697031716,98.2,106,7.942973523421593,Gemüse & Gemüsekonserven
Champignons oder andere Pilze,66,0.10613183417323543,0.3395646732031299,2.537013972845736,-16.999201915403027,3.479036574487071,99.2,104,4.8387096774193505,Gemüse & Gemüsekonserven
"Blumenkohl, Wirsing oder anderer Kohl",66,0.3469395276997728,-0.3949437852315496,7.584998989439597,-24.615384615384617,27.98310454065469,93.8,98,4.47761194029852,Gemüse & Gemüsekonserven
"Kürbisse, Auberginen oder Mais",66,0.811191839972378,-0.9265393460349324,12.772279016753911,-24.326530612244905,37.60869565217391,99.8,102,2.204408817635284,Gemüse & Gemüsekonserven
Gurken,66,1.9448778682655403,-0.95223214285714,20.6726885440629,-41.90520882214922,66.2266226622662,100.3,101,0.6979062811565351,Gemüse & Gemüsekonserven
"Feldsalat, Lauch, Sellerie oder Ähnliches",60,0.08322594208583402,0.3865284191446161,4.923861340378453,-24.864446165762967,9.990574929311968,99.7,97,-2.7081243731193583,Gemüse & Gemüsekonserven
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",66,0.126234923680588,0.420536022500273,5.3760556333258895,-41.066997518610414,4.628224582701068,99.3,95,-4.33031218529708,Obst & Obstkonserven
Zitrusfrüchte,66,0.14254946615943237,1.6072183630323145,6.415717404703561,-34.09275834011392,11.842105263157896,85.9,81,-5.704307334109437,Obst & Obstkonserven
Sauerkirschen oder andere Steinobstkonserve,66,0.02488167171415845,0.32350779477654523,4.506108470041621,-33.380581148121905,9.990749306197966,100.4,94,-6.3745019920318775,Obst & Obstkonserven
"Süße Mandeln, Kokosraspeln oder Ähnliches",60,-0.08093585018534934,0.23948861834421908,2.7093970622851633,-17.636526410026864,4.112337011033085,98.9,92,-6.976744186046513,Obst & Obstkonserven
Apfelmus oder andere Kernobstkonserve,66,0.00749860919486253,0.25562444792218697,4.685165902679303,-35.862068965517246,5.743243243243246,101.5,93,-8.374384236453203,Obst & Obstkonserven
"Kiwis, Melonen oder Ähnliches",66,-0.05155484757617046,0.5764516820057741,3.924434690790252,-21.42857142857143,6.680369989722501,96.1,88,-8.42872008324661,Obst & Obstkonserven
Äpfel,66,-0.02944496745678212,0.23706171467022807,4.4017162784489665,-30.252100840336137,6.612410986775186,91.2,83,-8.991228070175438,Obst & Obstkonserven
"Erdnüsse, Studentenfutter oder Ähnliches",66,-0.05151592528460377,0.16847869743336075,4.1752855450547965,-31.475903614457835,5.306122448979589,101,91,-9.9009900990099,Obst & Obstkonserven
Tiefgefrorenes Obst,66,-0.06319104696332287,0.3968269590378548,4.24721747117957,-30.900621118012428,4.386839481555338,99.7,89,-10.732196589769304,Obst & Obstkonserven
Trockenobst,66,-0.06589472475287117,0.04892367906066397,4.483894568767692,-33.333333333333336,7.6263924592973265,102,90,-11.764705882352944,Obst & Obstkonserven
Tomaten,66,0.6917201725262893,1.6298543689320266,13.592361260138746,-25.64102564102564,34.30420711974109,114.1,99,-13.234005258545134,Gemüse & Gemüsekonserven
Birnen,66,-0.13804034958733047,0.2440413599719582,4.210113187470946,-25.92592592592593,5.31622364802935,98.2,84,-14.4602851323829,Obst & Obstkonserven
Kopfsalat oder Eisbergsalat,66,0.5078833135127407,-0.04366812227074024,12.51938569310598,-33.72822299651569,31.09898674980511,115.9,96,-17.169974115616917,Gemüse & Gemüsekonserven
"Erdbeeren, Himbeeren, Stachelbeeren oder Ähnliches",66,0.05601640596998641,-0.08361204013377366,7.7890937974347345,-40.56668970283345,19.04761904761907,103.9,86,-17.228103946102024,Obst & Obstkonserven
"Pfirsiche, Kirschen o.a. Stein- oder Kernobst",66,0.06604423025651177,1.2592861623799023,8.207389192396855,-32.80632411067194,18.77551020408163,103.1,85,-17.555771096023275,Obst & Obstkonserven
Bananen,66,-0.16072773698100132,-0.08817864265276976,4.780075588842102,-32.399010717230006,14.61100569259961,99.6,82,-17.670682730923694,Obst & Obstkonserven
Schmalz oder anderes tierisches Speisefett,66,-0.05876667945211245,0.4081004081003981,6.192347400374067,-48.253557567917206,5.731394354148844,100,80,-19.999999999999996,Öle & Fette
"Sonnenblumenöl, Rapsöl oder Ähnliches",66,-0.00287661891929115,0,7.4058456519877565,-48.90038809831824,25.247851949768663,100.2,79,-21.15768463073853,Öle & Fette
Weintrauben,66,0.03740777205329501,-2.233490974918456,9.352174404667393,-22.390722569134702,26.41325536062378,111.6,87,-22.043010752688165,Obst & Obstkonserven
Eier,66,-0.1534448733692679,0.29521083064267817,6.033803332735344,-47.625698324022345,7.069846678023839,98.9,75,-24.16582406471184,Milch & Milchgetränke
Margarine oder Pflanzenfett,66,-0.0993051703442166,0.18912406490975145,6.688574446034946,-50.51413881748073,9.17001338688086,102,77,-24.50980392156863,Öle & Fette
Olivenöl,66,-0.08041830827600248,0.6818781110748295,6.860930495326134,-51.49253731343284,7.088255733148019,103.4,78,-24.56479690522244,Öle & Fette
Buttermilch oder anderes Milchgetränk,60,-0.16924494414909422,0.24178085263842908,6.841499320072534,-48.11656005685856,16.547406082289818,98.3,73,-25.73753814852492,Milch & Milchgetränke
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",60,-0.3826813189420568,0.18404669392281248,4.379652517028362,-31.3543599257885,5.174234424498403,99.9,74,-25.92592592592593,Milch & Milchgetränke
Butter,66,-0.09373039353872437,0.4006018054162453,7.31270219314065,-49.90112063282795,13.173156586578294,102.9,76,-26.1418853255588,Öle & Fette
Quark,66,0.02088677594281867,0.37344970036030656,8.417383759783533,-59.50704225352113,28.949478748997603,97.1,69,-28.939237899073113,Milch & Milchgetränke
Sahne,60,-0.17287059699320118,0.29806266670089343,7.451989848236448,-52.85524568393094,18.12865497076024,100.7,71,-29.49354518371401,Milch & Milchgetränke
Fertigdessert,60,-0.29988684932987597,0.2943347066426183,6.3568728939962895,-46.666666666666664,8.487394957983184,102.4,72,-29.6875,Milch & Milchgetränke
Frischkäse,66,-0.23364332167855997,0.25305195030922434,6.583583474024322,-50.495049504950494,7.474226804123707,100.9,70,-30.62438057482656,Milch & Milchgetränke
Weichkäse,66,-0.2521271955853219,0.33263202865302377,6.722137623572391,-52.94117647058824,4.508196721311486,101.2,68,-32.80632411067194,Milch & Milchgetränke
Schnittkäse,66,-0.19152569148211823,0.3610337211933823,7.369006790019211,-56.03674540682415,13.582089552238807,100.6,67,-33.39960238568588,Milch & Milchgetränke
Hartkäse,66,-0.2789142200087736,0.3325525735884294,6.78829802352605,-53.02491103202846,8.684863523573206,100.3,66,-34.197407776669984,Milch & Milchgetränke
Joghurt,66,-0.3475744063107096,0.09950248756218638,6.537560988433245,-50.419527078565984,7.078189300411508,100.8,65,-35.51587301587301,Milch & Milchgetränke
Teilentrahmte Milch,66,-0.25079365152708566,0.1910305064953932,7.258494918870371,-55.78947368421052,14.000000000000012,97.7,63,-35.51688843398158,Milch & Milchgetränke
Kondensierte Milch,66,-0.12592642040520105,0.37379589557448023,8.013946868230429,-61.69958108916816,13.937867338371102,99.7,64,-35.8074222668004,Milch & Milchgetränke
Vollmilch,66,-0.2936969932130779,0.33356660818367745,7.164032181452502,-55.20231213872832,13.270547945205502,98.1,62,-36.79918450560652,Milch & Milchgetränke
Fischstäbchen o.a. tiefgefrorene Fischzubereitung,66,-0.3773020141128559,0.2799617842375701,6.958884302435553,-53.64741641337386,7.081911262798624,100.1,61,-39.06093906093906,Fisch & Meeresfrüchte
"Eingelegte Matjes, Fischsalat oder Ähnliches",66,-0.39972313828101214,0.30971854342354277,6.921850880588735,-55.223880597014926,3.5486806187443154,100.8,60,-40.476190476190474,Fisch & Meeresfrüchte
Fischkonserve,66,-0.40432759700850707,0.2140143427289631,7.279006107473801,-57.60233918128655,4.010462074978194,101.1,58,-42.63105835806133,Fisch & Meeresfrüchte
Fischmarinade,60,-0.43740315532883006,0.4256434355118577,7.645730355378737,-58.30388692579505,2.887139107611536,103,59,-42.71844660194175,Fisch & Meeresfrüchte
Räucherfisch,66,-0.47066810633573225,0.10058072855037016,6.979906734202606,-55.46875,4.380952380952374,100.8,57,-43.45238095238096,Fisch & Meeresfrüchte
"Meeresfrüchte, frisch oder gekühlt",66,-0.5381828462901705,0.27904616945712,6.685648987264912,-53.625632377740295,1.949860724233976,99.2,55,-44.556451612903224,Fisch & Meeresfrüchte
